encoder,variant,layer_token,layer,test_map,test_mrr,test_map_at_1
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,15,15,0.014822090044617651,0.03600288927555084,0.0035748512018471956
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,16,16,0.012487494386732578,0.031011661514639854,0.0028056204319000244
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,17,17,0.010306338779628277,0.026233404874801636,0.0025505051016807556
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,18,18,0.009306657128036022,0.02414648234844208,0.00190947949886322
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,19,19,0.008805273100733757,0.022888079285621643,0.00182141934055835
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,20,20,0.010591895319521427,0.02587607316672802,0.0020868948195129633
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,21,21,0.00992617942392826,0.02457098476588726,0.0018732192693278191
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,22,22,0.005949346348643303,0.015856560319662094,0.0014680690364912152
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,23,23,0.003641014220193029,0.01059543527662754,0.0006697006174363196
CLaMP3-symbolic,VGMIDITVar,0,0,0.15555717051029205,0.3052205443382263,0.10551966726779938
CLaMP3-symbolic,VGMIDITVar,1,1,0.16203318536281586,0.3144451677799225,0.11137686669826508
CLaMP3-symbolic,VGMIDITVar,2,2,0.16838406026363373,0.324563205242157,0.11462102830410004
CLaMP3-symbolic,VGMIDITVar,3,3,0.17336532473564148,0.3320876359939575,0.1173027902841568
CLaMP3-symbolic,VGMIDITVar,4,4,0.17792795598506927,0.33962005376815796,0.12087440490722656
CLaMP3-symbolic,VGMIDITVar,5,5,0.17900320887565613,0.3420557975769043,0.12187626957893372
CLaMP3-symbolic,VGMIDITVar,6,6,0.18188616633415225,0.3468243181705475,0.12397538125514984
CLaMP3-symbolic,VGMIDITVar,7,7,0.1840091049671173,0.3493989109992981,0.12485986202955246
CLaMP3-symbolic,VGMIDITVar,8,8,0.1866752654314041,0.3530252277851105,0.12795166671276093
CLaMP3-symbolic,VGMIDITVar,9,9,0.18890996277332303,0.3553391098976135,0.12795935571193695
CLaMP3-symbolic,VGMIDITVar,10,10,0.19193758070468905,0.3598780333995819,0.13036558032035828
CLaMP3-symbolic,VGMIDITVar,11,11,0.19781047105789185,0.36660295724868774,0.13267843425273895
CLaMP3-symbolic,VGMIDITVar,12,12,0.17967119812965393,0.34258177876472473,0.12217383831739426
CLaMP3-symbolic,VGMIDITVar-leitmotif,meanall,-1,0.19459927082061768,0.3599688410758972,0.12837503850460052
CLaMP3-symbolic,VGMIDITVar-leitmotif,0,0,0.1547919511795044,0.3034151494503021,0.10471417009830476
CLaMP3-symbolic,VGMIDITVar-leitmotif,1,1,0.1606184095144272,0.31135207414627075,0.1101926788687706
CLaMP3-symbolic,VGMIDITVar-leitmotif,2,2,0.16644948720932007,0.32061710953712463,0.11310513317584991
CLaMP3-symbolic,VGMIDITVar-leitmotif,3,3,0.17171497642993927,0.3282690942287445,0.11513366550207138
CLaMP3-symbolic,VGMIDITVar-leitmotif,4,4,0.17639771103858948,0.3361895680427551,0.11895596235990524
CLaMP3-symbolic,VGMIDITVar-leitmotif,5,5,0.17818999290466309,0.34030091762542725,0.1208719164133072
CLaMP3-symbolic,VGMIDITVar-leitmotif,6,6,0.1809316873550415,0.34455814957618713,0.12268611043691637
CLaMP3-symbolic,VGMIDITVar-leitmotif,7,7,0.18296347558498385,0.347075879573822,0.12302984297275545
CLaMP3-symbolic,VGMIDITVar-leitmotif,8,8,0.18580378592014313,0.3515031635761261,0.1265005320310593
CLaMP3-symbolic,VGMIDITVar-leitmotif,9,9,0.18722330033779144,0.35216233134269714,0.12554095685482025
CLaMP3-symbolic,VGMIDITVar-leitmotif,10,10,0.1897188127040863,0.35497939586639404,0.12726588547229767
CLaMP3-symbolic,VGMIDITVar-leitmotif,11,11,0.19456736743450165,0.359993577003479,0.12926331162452698
CLaMP3-symbolic,VGMIDITVar-leitmotif,12,12,0.17627374827861786,0.3359675407409668,0.11912282556295396
