encoder,layer,query_program,target_program,map,n_queries
MERT-v1-95M,5,73,60,0.25750863552093506,80
MERT-v1-95M,5,73,73,0.0,0
MERT-v1-95M,6,-1,-1,0.013923987746238708,1714
MERT-v1-95M,6,0,0,0.13728667795658112,12
MERT-v1-95M,6,0,48,0.22837230563163757,680
MERT-v1-95M,6,0,56,0.6195075511932373,22
MERT-v1-95M,6,0,60,0.3095851242542267,268
MERT-v1-95M,6,0,73,0.45438504219055176,86
MERT-v1-95M,6,48,0,0.21920141577720642,676
MERT-v1-95M,6,48,48,0.08317722380161285,4
MERT-v1-95M,6,48,56,0.5121142268180847,18
MERT-v1-95M,6,48,60,0.36607441306114197,264
MERT-v1-95M,6,48,73,0.3952741324901581,82
MERT-v1-95M,6,56,0,0.11286864429712296,16
MERT-v1-95M,6,56,48,0.11372769623994827,16
MERT-v1-95M,6,56,56,0.0,0
MERT-v1-95M,6,56,60,0.2564793825149536,16
MERT-v1-95M,6,56,73,0.30473998188972473,16
MERT-v1-95M,6,60,0,0.14810021221637726,262
MERT-v1-95M,6,60,48,0.22667144238948822,262
MERT-v1-95M,6,60,56,0.6976562142372131,16
MERT-v1-95M,6,60,60,0.0,0
MERT-v1-95M,6,60,73,0.40775066614151,80
MERT-v1-95M,6,73,0,0.1552841067314148,80
MERT-v1-95M,6,73,48,0.1580110788345337,80
MERT-v1-95M,6,73,56,0.5791542530059814,16
MERT-v1-95M,6,73,60,0.29575473070144653,80
MERT-v1-95M,6,73,73,0.0,0
MERT-v1-95M,7,-1,-1,0.015557751059532166,1714
MERT-v1-95M,7,0,0,0.14407853782176971,12
MERT-v1-95M,7,0,48,0.22209379076957703,680
MERT-v1-95M,7,0,56,0.5936480164527893,22
MERT-v1-95M,7,0,60,0.28976425528526306,268
MERT-v1-95M,7,0,73,0.4521064758300781,86
MERT-v1-95M,7,48,0,0.23167046904563904,676
MERT-v1-95M,7,48,48,0.0811370462179184,4
MERT-v1-95M,7,48,56,0.5689283609390259,18
MERT-v1-95M,7,48,60,0.38079550862312317,264
MERT-v1-95M,7,48,73,0.3963959813117981,82
MERT-v1-95M,7,56,0,0.13177934288978577,16
MERT-v1-95M,7,56,48,0.14352698624134064,16
MERT-v1-95M,7,56,56,0.0,0
MERT-v1-95M,7,56,60,0.26339006423950195,16
MERT-v1-95M,7,56,73,0.36359158158302307,16
MERT-v1-95M,7,60,0,0.1544482409954071,262
MERT-v1-95M,7,60,48,0.2421523779630661,262
MERT-v1-95M,7,60,56,0.6895833015441895,16
MERT-v1-95M,7,60,60,0.0,0
MERT-v1-95M,7,60,73,0.3849140703678131,80
MERT-v1-95M,7,73,0,0.14588116109371185,80
MERT-v1-95M,7,73,48,0.15183523297309875,80
MERT-v1-95M,7,73,56,0.5614458918571472,16
MERT-v1-95M,7,73,60,0.25918149948120117,80
MERT-v1-95M,7,73,73,0.0,0
MERT-v1-95M,8,-1,-1,0.01612599939107895,1714
MERT-v1-95M,8,0,0,0.1389997899532318,12
MERT-v1-95M,8,0,48,0.2158658653497696,680
MERT-v1-95M,8,0,56,0.6385281085968018,22
MERT-v1-95M,8,0,60,0.28695958852767944,268
MERT-v1-95M,8,0,73,0.42579397559165955,86
MERT-v1-95M,8,48,0,0.2395826280117035,676
MERT-v1-95M,8,48,48,0.07327058911323547,4
MERT-v1-95M,8,48,56,0.5876783728599548,18
MERT-v1-95M,8,48,60,0.36855632066726685,264
MERT-v1-95M,8,48,73,0.4028312861919403,82
MERT-v1-95M,8,56,0,0.12939845025539398,16
MERT-v1-95M,8,56,48,0.13166239857673645,16
MERT-v1-95M,8,56,56,0.0,0
MERT-v1-95M,8,56,60,0.27066493034362793,16
MERT-v1-95M,8,56,73,0.34639596939086914,16
